evoked?,context,question,source,context_id,question_id
True,Your father gave me the keys to the new hearse. He said we could take it and that he would use the old one for business until we get back.,Seriously?,590124__come-as-you-are,590124__come-as-you-are-6-0,590124__come-as-you-are-6-1-0
False,Your father gave me the keys to the new hearse. He said we could take it and that he would use the old one for business until we get back.,Did you hear me?,590124__come-as-you-are,590124__come-as-you-are-6-0,590124__come-as-you-are-3-0-1
True,Should I drive?,Is Dad going to see us off or anything?,590124__come-as-you-are,590124__come-as-you-are-7-0,590124__come-as-you-are-7-1-0
False,Should I drive?,Did you hear me?,590124__come-as-you-are,590124__come-as-you-are-7-0,590124__come-as-you-are-3-0-1
True,"No, no… We need to talk about August.",What’s there to say?,590124__come-as-you-are,590124__come-as-you-are-11-0,590124__come-as-you-are-11-1-0
False,"No, no… We need to talk about August.",Will you come in with me and wait?,590124__come-as-you-are,590124__come-as-you-are-11-0,590124__come-as-you-are-13-0-1
True,"So, you said you remember everything, no memory loss. Why didn’t you just tell the police who your parents were and how to get in contact with them?","I ran away, remember?",590124__come-as-you-are,590124__come-as-you-are-17-0,590124__come-as-you-are-17-1-0
False,"So, you said you remember everything, no memory loss. Why didn’t you just tell the police who your parents were and how to get in contact with them?",Is she mad?,590124__come-as-you-are,590124__come-as-you-are-17-0,590124__come-as-you-are-15-0-0
True,"Why didn’t you just tell the police who your parents were and how to get in contact with them? I ran away, remember? I didn’t want to be found.",Why Aberdeen?,590124__come-as-you-are,590124__come-as-you-are-17-1,590124__come-as-you-are-17-2-0
False,"Why didn’t you just tell the police who your parents were and how to get in contact with them? I ran away, remember? I didn’t want to be found.",Will you come in with me and wait?,590124__come-as-you-are,590124__come-as-you-are-17-1,590124__come-as-you-are-13-0-1
True,"I ran away, remember? I didn’t want to be found. Why Aberdeen?",Is this Twenty Questions?,590124__come-as-you-are,590124__come-as-you-are-17-2,590124__come-as-you-are-17-3-0
False,"I ran away, remember? I didn’t want to be found. Why Aberdeen?",Is she mad?,590124__come-as-you-are,590124__come-as-you-are-17-2,590124__come-as-you-are-15-0-0
True,I didn’t want to be found. Why Aberdeen? Is this Twenty Questions?,You ran away and have been missing for two months; what do you expect?,590124__come-as-you-are,590124__come-as-you-are-17-3,590124__come-as-you-are-17-4-0
False,I didn’t want to be found. Why Aberdeen? Is this Twenty Questions?,Are we that bad?,590124__come-as-you-are,590124__come-as-you-are-17-3,590124__come-as-you-are-18-0-0
True,Was it all worth it?,Do you want the truth or what I’m supposed to tell you?,590124__come-as-you-are,590124__come-as-you-are-24-0,590124__come-as-you-are-24-1-0
False,Was it all worth it?,Do you want to talk about the fight?,590124__come-as-you-are,590124__come-as-you-are-24-0,590124__come-as-you-are-25-1-0
True,"I remember the fight the three of you had when you moved out, and this was exponentially worse. It was atomic. It put Hiroshima and Nagasaki to shame.",Do you want to talk about the fight?,590124__come-as-you-are,590124__come-as-you-are-25-0,590124__come-as-you-are-25-1-0
False,"I remember the fight the three of you had when you moved out, and this was exponentially worse. It was atomic. It put Hiroshima and Nagasaki to shame.",You’re a vegetarian?,590124__come-as-you-are,590124__come-as-you-are-25-0,590124__come-as-you-are-27-0-0
True,So what’s going on between you and Mom? Nothing; we just got into a fight and I took off.,You’re trying to tell me it was just a fight?,590124__come-as-you-are,590124__come-as-you-are-30-1,590124__come-as-you-are-30-2-0
False,So what’s going on between you and Mom? Nothing; we just got into a fight and I took off.,What did she do?,590124__come-as-you-are,590124__come-as-you-are-30-1,590124__come-as-you-are-29-1-1
True,You’re trying to tell me it was just a fight? There was no real reason behind it? The three of you just decided it was a good time to start screaming at each other?,Is that so hard to believe?,590124__come-as-you-are,590124__come-as-you-are-30-2,590124__come-as-you-are-30-3-0
False,You’re trying to tell me it was just a fight? There was no real reason behind it? The three of you just decided it was a good time to start screaming at each other?,There was no real reason behind it?,590124__come-as-you-are,590124__come-as-you-are-30-2,590124__come-as-you-are-30-2-1
True,"You’re reverse psychology really isn’t going to work on me. It didn’t work when we were kids; it won’t work now. I know, but I’m your older brother; it’s my job to be kind of mean to you sometimes.","Isn’t it sad, though?",590124__come-as-you-are,590124__come-as-you-are-31-2,590124__come-as-you-are-31-3-0
