evoked?,context,question,source,context_id,question_id,highlight
True,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",What else should be looked at when making investment decisions?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566050732.b7e55f00e9077b025de2c811b69ae04a.47.12,"metrics like sales growth, cash flow, market share, valuation"
True,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",What are the fundamentals of the earth,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566140045.2e2e634c5c7ea1a8fef9471cbe1468e9.47.12,these things are fundamental
True,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",What else should investors be looking at?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566153796.3c567fbf11d110d78f374ad8cf32a954.47.12,but they're not enough
True,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",what is the market place supposed to do,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566166338.fa33da3b931931a8cb06e33e223a880e.47.12,they're not enough.
False,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",What else should investors consider?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566051814.7e593f20c711d564b39366ebc400033a.49.0,they're not enough.
False,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",Don't do what at home?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566055660.dd555275f18b0a1e3be08584519a8ef5.48.6,"metrics like sales growth, cash flow, market share, valuation"
False,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",What should I do instead?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566153796.3c567fbf11d110d78f374ad8cf32a954.47.6,"metrics like sales growth, cash flow, market share, valuation"
False,"(Laughter) But it makes me wonder if the investment rules of today are fit for purpose tomorrow. We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough.",SO what should I do instead?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-1895.0,1566140045.2e2e634c5c7ea1a8fef9471cbe1468e9.47.6,they're not enough.
True,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.",What does the ESG do?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1566055660.dd555275f18b0a1e3be08584519a8ef5.48.12,Investors should also look at performance metrics
True,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.",How do we evaluate ESG?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1566163529.f40cff68903e1155502187d762bfe0dc.48.12,look at performance metrics in what we call ESG
